Year,LocationAbbr,LocationDesc,DataSource,Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Data_Value_Footnote_Symbol,Greater_Risk_Data_Value_Footnote,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_High_Confidence_Limit,Lesser_Risk_Low_Confidence_Limit,Sample_Size,Sex,Age,GeoLocation,TopicID,SubtopicID,QuestionCode,LocationId,StratID1,StratID2,StratID3,StratificationType
2012,AGR,Argentina San Juan,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,8.2392,,,4.7874,13.8188,N/A,91.7608,,,95.2126,86.1812,571,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,AGR,Americas
2013,NB,Namibia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,29.6968,,,23.8804,36.255,N/A,70.3032,,,76.1196,63.745,347,Male,15,,C05,C44,QNFF2G,NULL,S8,A4,NB,African
2014,MV,Maldives,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,,,,,,Did not eat food from a fast food restaurant,,,,,,95,Female,13,,C05,C44,G10,NULL,S7,A2,MV,South-East Asia
2011,YSI,Malaysia - I,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,51.0764,,,44.107,58.0041,Did not eat food from a fast food restaurant,48.9236,,,55.893,41.9959,780,Female,Total,,C05,C44,G10,NULL,S7,A1,YSI,Western Pacific
2013,KH,Cambodia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.091,,,4.0626,9.0369,N/A,93.909,,,95.9374,90.9631,247,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,KH,Western Pacific
2015,CW,Curacao,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,34.2376,,,28.9738,39.9201,N/A,65.7624,,,71.0262,60.0799,170,Female,13,,C05,C44,QNFF2G,NULL,S7,A2,CW,Americas
2013,BS,Bahamas,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,74.2089,,,67.1484,80.1994,Did not eat food from a fast food restaurant,25.7911,,,32.8516,19.8006,568,Female,13-15,,C05,C44,G10,NULL,S7,A7,BS,Americas
2012,AGX,Argentina Tucuman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,11.8484,,,10.0514,13.917,N/A,88.1516,,,89.9486,86.083,1173,Total,13-15,,C05,C44,QNFF2G,NULL,S1,A7,AGX,Americas
2012,BLA,Bolivia Highland,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,29.7548,,,23.1488,37.3303,N/A,70.2452,,,76.8512,62.6697,148,Male,13,,C05,C44,QNFF2G,NULL,S8,A2,BLA,Americas
2015,IOC,Indonesia (Outside Java and Sumatra),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,11.6298,,,8.5361,15.6529,N/A,88.3702,,,91.4639,84.3471,1604,Female,13-17,,C05,C44,QNFF3G,NULL,S7,A8,IOC,South-East Asia
2011,YSE,Malaysia - E,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,13.3321,,,8.4726,20.359,N/A,86.6679,,,91.5274,79.641,177,Male,13,,C05,C44,QNFF2G,NULL,S8,A2,YSE,Western Pacific
2011,MUA,Mauritius (Rodriques),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,7.6359,,,4.1531,13.624,N/A,92.3641,,,95.8469,86.376,174,Female,14,,C05,C44,QNFF3G,NULL,S7,A3,MUA,African
2012,AGH,Argentina Entre Rios,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,4.5139,,,1.7717,11.024,N/A,95.4861,,,98.2283,88.976,156,Male,15,,C05,C44,QNFF2G,NULL,S8,A4,AGH,Americas
2011,YSI,Malaysia - I,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,2.6565,,,0.6943,9.6265,N/A,97.3435,,,99.3057,90.3735,141,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,YSI,Western Pacific
2015,TL,Timor Leste,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,19.1724,,,14.8542,24.3864,N/A,80.8276,,,85.1458,75.6136,336,Male,17,,C05,C44,QNFF3G,NULL,S8,A6,TL,South-East Asia
2012,AGQ,Argentina Salta,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,14.817,,,10.146,21.1327,N/A,85.183,,,89.854,78.8673,176,Total,13,,C05,C44,QNFF2G,NULL,S1,A2,AGQ,Americas
2011,TT,Trinidad and Tobago,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,30.1267,,,24.7377,36.1261,N/A,69.8733,,,75.2623,63.8739,323,Male,13,,C05,C44,QNFF2G,NULL,S8,A2,TT,Americas
2013,SZ,Swaziland,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,49.6359,,,38.5344,60.7734,Did not eat food from a fast food restaurant,50.3641,,,61.4656,39.2266,167,Female,13,,C05,C44,G10,NULL,S7,A2,SZ,African
2015,IOA,Indonesia (Java),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,13.3208,,,11.2506,15.7045,N/A,86.6792,,,88.7494,84.2955,1762,Male,Total,,C05,C44,QNFF3G,NULL,S8,A1,IOA,South-East Asia
2015,THB,Thailand (Private),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,45.2617,,,36.4809,54.3477,N/A,54.7383,,,63.5191,45.6523,305,Male,14,,C05,C44,QNFF3G,NULL,S8,A3,THB,South-East Asia
2013,BS,Bahamas,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,1,Total,17,,C05,C44,QNFF2G,NULL,S1,A6,BS,Americas
2012,AGX,Argentina Tucuman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,5.4347,,,4.0836,7.1991,N/A,94.5653,,,95.9164,92.8009,1173,Total,13-15,,C05,C44,QNFF3G,NULL,S1,A7,AGX,Americas
2012,HN,Honduras,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,44.7617,,,37.2829,52.4851,Did not eat food from a fast food restaurant,55.2383,,,62.7171,47.5149,200,Male,13,,C05,C44,G10,NULL,S8,A2,HN,Americas
2013,KHA,Cambodia Urban,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,12.1643,,,10.0351,14.6716,N/A,87.8357,,,89.9649,85.3284,770,Total,13-15,,C05,C44,QNFF2G,NULL,S1,A7,KHA,Western Pacific
2014,BU,Brunei Darussalam,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,67.7695,,,63.1283,72.0848,Did not eat food from a fast food restaurant,32.2305,,,36.8717,27.9152,317,Female,15,,C05,C44,G10,NULL,S7,A4,BU,Western Pacific
2010,GY,Guyana,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,57.9002,,,53.7874,61.9062,Did not eat food from a fast food restaurant,42.0998,,,46.2126,38.0938,864,Male,13-15,,C05,C44,G10,NULL,S8,A7,GY,Americas
2012,AGR,Argentina San Juan,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,26.4455,,,21.4625,32.1125,Did not eat food from a fast food restaurant,73.5545,,,78.5375,67.8875,239,Total,13,,C05,C44,G10,NULL,S1,A2,AGR,Americas
2009,VG,British Virgin Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,15.1256,,,11.3766,19.8336,N/A,84.8744,,,88.6234,80.1664,150,Male,14,,C05,C44,QNFF3G,NULL,S8,A3,VG,Americas
2010,PLA,Palestine (Gaza),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,40.3635,,,34.4889,46.5279,Did not eat food from a fast food restaurant,59.6365,,,65.5111,53.4721,2225,Total,13-15,,C05,C44,G10,NULL,S1,A7,PLA,Eastern Mediterranean
2015,TL,Timor Leste,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,27.9817,,,24.5491,31.6926,N/A,72.0183,,,75.4509,68.3074,1502,Female,13-17,,C05,C44,QNFF2G,NULL,S7,A8,TL,South-East Asia
2013,KHA,Cambodia Urban,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,4.2156,,,3.0136,5.8682,N/A,95.7844,,,96.9864,94.1318,911,Male,Total,,C05,C44,QNFF3G,NULL,S8,A1,KHA,Western Pacific
2014,TZ,Tanzania,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,16.9774,,,8.6599,30.6066,N/A,83.0226,,,91.3401,69.3934,365,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,TZ,African
2012,AGG,Argentina Corrientes,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,15.6813,,,11.8261,20.5012,N/A,84.3187,,,88.1739,79.4988,1012,Total,Total,,C05,C44,QNFF2G,NULL,S1,A1,AGG,Americas
2012,AGP,Argentina Rio Negro,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,1.8162,,,0.5007,6.3667,N/A,98.1838,,,99.4993,93.6333,147,Male,15,,C05,C44,QNFF3G,NULL,S8,A4,AGP,Americas
2012,AGU,Argentina Santa Fe,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,4.4166,,,1.5024,12.2787,N/A,95.5834,,,98.4976,87.7213,118,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,AGU,Americas
2011,PIC,Philippines (Mindanao),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,34.5993,,,25.1224,45.4796,Did not eat food from a fast food restaurant,65.4007,,,74.8776,54.5204,190,Male,15,,C05,C44,G10,NULL,S8,A4,PIC,Western Pacific
2011,DZ,Algeria,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,65.8687,,,59.7399,71.5095,Did not eat food from a fast food restaurant,34.1313,,,40.2601,28.4905,539,Male,15,,C05,C44,G10,NULL,S8,A4,DZ,African
2011,PIA,Philippines (Luzon),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,19.1574,,,14.2524,25.2534,N/A,80.8426,,,85.7476,74.7466,490,Total,15,,C05,C44,QNFF2G,NULL,S1,A4,PIA,Western Pacific
2013,BS,Bahamas,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,29.1835,,,24.3776,34.5045,N/A,70.8165,,,75.6224,65.4955,720,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,BS,Americas
2015,PID,Philippines (Davao City),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,20.8197,,,15.3497,27.6035,N/A,79.1803,,,84.6503,72.3965,288,Male,14,,C05,C44,QNFF2G,NULL,S8,A3,PID,Western Pacific
2014,BD,Bangladesh,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,47.9024,,,37.0524,58.954,Did not eat food from a fast food restaurant,52.0976,,,62.9476,41.046,209,Male,13,,C05,C44,G10,NULL,S8,A2,BD,South-East Asia
2010,PLA,Palestine (Gaza),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,41.7769,,,34.5345,49.3923,Did not eat food from a fast food restaurant,58.2231,,,65.4655,50.6077,702,Total,13,,C05,C44,G10,NULL,S1,A2,PLA,Eastern Mediterranean
2010,TO,Tonga,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,41.8145,,,36.983,46.8082,N/A,58.1855,,,63.017,53.1918,376,Female,14,,C05,C44,QNFF2G,NULL,S7,A3,TO,Western Pacific
2011,DZB,Algeria Rural,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,29.3484,,,24.7981,34.3523,N/A,70.6516,,,75.2019,65.6477,505,Total,14,,C05,C44,QNFF2G,NULL,S1,A3,DZB,African
2012,AGG,Argentina Corrientes,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,33.1119,,,27.1861,39.6265,Did not eat food from a fast food restaurant,66.8881,,,72.8139,60.3735,509,Male,Total,,C05,C44,G10,NULL,S8,A1,AGG,Americas
2011,LB,Lebanon,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,39.7315,,,35.9918,43.5951,N/A,60.2685,,,64.0082,56.4049,1057,Male,Total,,C05,C44,QNFF2G,NULL,S8,A1,LB,Eastern Mediterranean
2013,KHB,Cambodia Rural,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,20.7343,,,16.2799,26.0284,Did not eat food from a fast food restaurant,79.2657,,,83.7201,73.9716,207,Female,14,,C05,C44,G10,NULL,S7,A3,KHB,Western Pacific
2015,IO,Indonesia,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,50.6156,,,44.2404,56.9708,Did not eat food from a fast food restaurant,49.3844,,,55.7596,43.0292,327,Male,17,,C05,C44,G10,NULL,S8,A6,IO,South-East Asia
2010,NU,Niue,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,,,,,,Did not eat food from a fast food restaurant,,,,,,15,Male,15,,C05,C44,G10,NULL,S8,A4,NU,Western Pacific
2015,MZ,Mozambique,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,23.1421,,,15.8573,32.4815,N/A,76.8579,,,84.1427,67.5185,306,Total,17,,C05,C44,QNFF3G,NULL,S1,A6,MZ,African
2015,THB,Thailand (Private),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,78.1896,,,72.0189,83.3148,Did not eat food from a fast food restaurant,21.8104,,,27.9811,16.6852,395,Male,13,,C05,C44,G10,NULL,S8,A2,THB,South-East Asia
2013,SZ,Swaziland,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,18.7396,,,15.9689,21.8661,N/A,81.2604,,,84.0311,78.1339,3631,Total,Total,,C05,C44,QNFF2G,NULL,S1,A1,SZ,African
2012,AGX,Argentina Tucuman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.2157,,,4.6796,8.2125,N/A,93.7843,,,95.3204,91.7875,777,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,AGX,Americas
2013,SZ,Swaziland,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,18.8626,,,13.7824,25.2666,N/A,81.1374,,,86.2176,74.7334,276,Total,13,,C05,C44,QNFF3G,NULL,S1,A2,SZ,African
2010,MR,Morocco,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,23.9658,,,19.0498,29.6851,N/A,76.0342,,,80.9502,70.3149,642,Total,13,,C05,C44,QNFF2G,NULL,S1,A2,MR,Eastern Mediterranean
2011,YSH,Malaysia - H,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,4.5676,,,1.4672,13.333,N/A,95.4324,,,98.5328,86.667,186,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,YSH,Western Pacific
2011,YSI,Malaysia - I,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,12.3297,,,5.4108,25.6928,N/A,87.6703,,,94.5892,74.3072,170,Female,14,,C05,C44,QNFF2G,NULL,S7,A3,YSI,Western Pacific
2015,CS,Cook Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,37.3041,,,34.0497,40.6777,N/A,62.6959,,,65.9503,59.3223,700,Total,Total,,C05,C44,QNFF2G,NULL,S1,A1,CS,Western Pacific
2015,PI,Philippines,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,15.2976,,,11.2261,20.5047,N/A,84.7024,,,88.7739,79.4953,750,Male,16,,C05,C44,QNFF2G,NULL,S8,A5,PI,Western Pacific
2010,AE,United Arab Emirates,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,67.0793,,,62.2073,71.6099,Did not eat food from a fast food restaurant,32.9207,,,37.7927,28.3901,2572,Total,Total,,C05,C44,G10,NULL,S1,A1,AE,Eastern Mediterranean
2012,HN,Honduras,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,46.9463,,,41.0693,52.9092,Did not eat food from a fast food restaurant,53.0537,,,58.9307,47.0908,221,Female,13,,C05,C44,G10,NULL,S7,A2,HN,Americas
2009,BJ,Benin,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,17.2768,,,13.9625,21.184,N/A,82.7232,,,86.0375,78.816,608,Total,15,,C05,C44,QNFF3G,NULL,S1,A4,BJ,African
2015,IOA,Indonesia (Java),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,27.931,,,21.8595,34.9348,N/A,72.069,,,78.1405,65.0652,305,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,IOA,South-East Asia
2010,MGA,Mongolia Rural,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,28.7708,,,23.3533,34.8733,Did not eat food from a fast food restaurant,71.2292,,,76.6467,65.1267,206,Male,13,,C05,C44,G10,NULL,S8,A2,MGA,Western Pacific
2015,IOB,Indonesia (Sumatra),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,24.3458,,,18.8413,30.8472,N/A,75.6542,,,81.1587,69.1528,765,Total,14,,C05,C44,QNFF2G,NULL,S1,A3,IOB,South-East Asia
2015,PID,Philippines (Davao City),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,48.2581,,,40.6921,55.9047,Did not eat food from a fast food restaurant,51.7419,,,59.3079,44.0953,299,Male,15,,C05,C44,G10,NULL,S8,A4,PID,Western Pacific
2012,UY,Uruguay,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,46.3436,,,42.9929,49.7276,Did not eat food from a fast food restaurant,53.6564,,,57.0071,50.2724,1863,Female,Total,,C05,C44,G10,NULL,S7,A1,UY,Americas
2014,AF,Afghanistan,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,23.5803,,,15.4996,34.1701,N/A,76.4197,,,84.5004,65.8299,190,Male,16,,C05,C44,QNFF3G,NULL,S8,A5,AF,Eastern Mediterranean
2011,MUA,Mauritius (Rodriques),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,14.6291,,,11.2885,18.7494,N/A,85.3709,,,88.7115,81.2506,544,Female,13-15,,C05,C44,QNFF2G,NULL,S7,A7,MUA,African
2012,AGC,Argentina Chaco,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,15.6721,,,12.2761,19.7954,N/A,84.3279,,,87.7239,80.2046,749,Total,13-15,,C05,C44,QNFF2G,NULL,S1,A7,AGC,Americas
2012,AGE,Argentina Cuidad de Buenos Aires,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,48.8168,,,35.7119,62.0863,Did not eat food from a fast food restaurant,51.1832,,,64.2881,37.9137,109,Female,13,,C05,C44,G10,NULL,S7,A2,AGE,Americas
2011,DZA,Algeria Urban,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,40.6198,,,29.4301,52.8762,Did not eat food from a fast food restaurant,59.3802,,,70.5699,47.1238,243,Female,14,,C05,C44,G10,NULL,S7,A3,DZA,African
2012,IQ,Iraq,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,25.9516,,,21.7207,30.6837,N/A,74.0484,,,78.2793,69.3163,876,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,IQ,Eastern Mediterranean
2015,PIA,Philippines (Luzon),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,23.3476,,,17.9005,29.8496,N/A,76.6524,,,82.0995,70.1504,2707,Total,13-17,,C05,C44,QNFF2G,NULL,S1,A8,PIA,Western Pacific
2010,JM,Jamaica,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,58.1621,,,52.5056,63.6119,Did not eat food from a fast food restaurant,41.8379,,,47.4944,36.3881,1607,Total,Total,,C05,C44,G10,NULL,S1,A1,JM,Americas
2009,GTA,Guatemala (Rest of Country),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,9.6915,,,8.0825,11.5804,N/A,90.3085,,,91.9175,88.4196,1947,Total,Total,,C05,C44,QNFF3G,NULL,S1,A1,GTA,Americas
2013,BS,Bahamas,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,21,Male,16,,C05,C44,QNFF3G,NULL,S8,A5,BS,Americas
2011,PIC,Philippines (Mindanao),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,40.64,,,29.5236,52.8059,Did not eat food from a fast food restaurant,59.36,,,70.4764,47.1941,428,Total,15,,C05,C44,G10,NULL,S1,A4,PIC,Western Pacific
2015,CS,Cook Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,28.7041,,,20.0285,39.2913,N/A,71.2959,,,79.9715,60.7087,77,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,CS,Western Pacific
2012,AGX,Argentina Tucuman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,9.3243,,,4.9854,16.773,N/A,90.6757,,,95.0146,83.227,194,Male,15,,C05,C44,QNFF2G,NULL,S8,A4,AGX,Americas
2010,NU,Niue,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,14.4673,,,9.9409,20.5836,N/A,85.5327,,,90.0591,79.4164,51,Total,13-15,,C05,C44,QNFF3G,NULL,S1,A7,NU,Western Pacific
2012,AGJ,Argentina Jujuy,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,7.5138,,,5.4657,10.2461,N/A,92.4862,,,94.5343,89.7539,610,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,AGJ,Americas
2010,UWC,UNRWA Jordan,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,20.0913,,,17.2947,23.2132,N/A,79.9087,,,82.7053,76.7868,551,Total,15,,C05,C44,QNFF3G,NULL,S1,A4,UWC,Eastern Mediterranean
2015,LS,Republic of Laos,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,9.2227,,,5.2525,15.6968,N/A,90.7773,,,94.7475,84.3032,182,Total,13,,C05,C44,QNFF3G,NULL,S1,A2,LS,Western Pacific
